"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BSE","EQ","03-Apr-2017","        977.65","        984.00","        987.70","        975.10","        976.95","        977.45","        981.57","     129583","           127195424.05","       5939","      71816","         55.42"
"BSE","EQ","05-Apr-2017","        977.45","        985.80","        991.00","        978.00","        978.95","        979.40","        982.42","     154857","           152134251.20","      11038","      83414","         53.87"
"BSE","EQ","06-Apr-2017","        979.40","        980.00","        980.90","        968.10","        970.00","        970.80","        973.93","      71641","            69773676.20","       3935","      34256","         47.82"
"BSE","EQ","07-Apr-2017","        970.80","        970.00","       1004.40","        966.00","        990.00","        991.95","        986.84","     258530","           255127495.55","      15812","     126149","         48.79"
"BSE","EQ","10-Apr-2017","        991.95","        995.00","       1034.95","        995.00","       1027.90","       1030.10","       1020.38","     532872","           543733620.85","      22433","     200396","         37.61"
"BSE","EQ","11-Apr-2017","       1030.10","       1035.00","       1051.00","       1018.05","       1048.80","       1043.65","       1036.67","     343038","           355615719.75","      12875","     158360","         46.16"
"BSE","EQ","12-Apr-2017","       1043.65","       1046.00","       1054.80","       1025.10","       1043.15","       1047.70","       1040.41","     280190","           291512808.50","      17051","     130699","         46.65"
"BSE","EQ","13-Apr-2017","       1047.70","       1040.00","       1050.00","       1026.00","       1028.00","       1029.60","       1037.17","     141067","           146310552.40","       5923","      78697","         55.79"
"BSE","EQ","17-Apr-2017","       1029.60","       1025.00","       1028.95","       1008.00","       1009.00","       1011.45","       1016.45","     146038","           148440581.65","       9714","      94791","         64.91"
"BSE","EQ","18-Apr-2017","       1011.45","       1019.00","       1019.00","        996.35","        996.40","        997.75","       1007.47","     101457","           102214576.65","       8593","      58176","         57.34"
"BSE","EQ","19-Apr-2017","        997.75","       1004.00","       1014.00","        988.00","        999.50","       1000.30","        999.83","     129689","           129667016.60","      10652","      50742","         39.13"
"BSE","EQ","20-Apr-2017","       1000.30","       1005.70","       1017.60","       1000.10","       1011.60","       1010.90","       1010.70","      88934","            89885273.05","       5984","      44433","         49.96"
"BSE","EQ","21-Apr-2017","       1010.90","       1011.20","       1017.65","       1003.05","       1012.00","       1010.40","       1011.09","      90311","            91312658.05","       5262","      53476","         59.21"
"BSE","EQ","24-Apr-2017","       1010.40","       1011.00","       1015.05","       1005.65","       1008.95","       1009.75","       1010.03","     191329","           193248218.55","       5987","     168963","         88.31"
"BSE","EQ","25-Apr-2017","       1009.75","       1012.00","       1014.30","       1000.05","       1003.00","       1005.20","       1008.34","      91184","            91944225.15","       4261","      60419","         66.26"
"BSE","EQ","26-Apr-2017","       1005.20","       1010.00","       1017.00","       1003.50","       1007.90","       1009.55","       1009.13","     127199","           128360721.80","       3978","      81497","         64.07"
"BSE","EQ","27-Apr-2017","       1009.55","       1010.00","       1012.00","       1005.45","       1006.10","       1007.80","       1008.79","      58177","            58688509.15","       3441","      38275","         65.79"
