"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDBI","EQ","03-Jul-2017","         53.50","         53.85","         54.20","         53.25","         53.90","         53.95","         53.74","    2799644","           150439596.50","      10109","     648635","         23.17"
"IDBI","EQ","04-Jul-2017","         53.95","         54.00","         54.40","         53.25","         53.45","         53.50","         53.73","    2543785","           136679076.10","       8750","     569675","         22.39"
"IDBI","EQ","05-Jul-2017","         53.50","         53.55","         56.10","         53.50","         55.55","         55.50","         54.87","    5838498","           320367649.05","      17834","    1192919","         20.43"
"IDBI","EQ","06-Jul-2017","         55.50","         55.85","         57.55","         55.50","         57.25","         57.40","         56.66","    6431671","           364410154.35","      21417","    1225990","         19.06"
"IDBI","EQ","07-Jul-2017","         57.40","         57.00","         57.70","         56.25","         56.40","         56.35","         56.85","    3478555","           197757283.30","      11369","     876212","         25.19"
"IDBI","EQ","10-Jul-2017","         56.35","         57.00","         58.30","         56.60","         57.85","         58.10","         57.80","    1475634","            85290292.20","       4443","     518439","         35.13"
"IDBI","EQ","11-Jul-2017","         58.10","         58.10","         58.45","         56.00","         56.35","         56.35","         57.16","    2663844","           152252139.05","      12037","     803897","         30.18"
"IDBI","EQ","12-Jul-2017","         56.35","         56.50","         57.20","         56.15","         57.20","         57.00","         56.74","    2234888","           126814108.95","       9153","     389608","         17.43"
"IDBI","EQ","13-Jul-2017","         57.00","         57.10","         57.50","         56.70","         56.75","         56.95","         57.05","    2007978","           114553168.25","       6604","     445697","         22.20"
"IDBI","EQ","14-Jul-2017","         56.95","         56.95","         57.30","         56.10","         57.05","         57.15","         56.78","    2564303","           145596410.90","       7838","     583145","         22.74"
"IDBI","EQ","17-Jul-2017","         57.15","         57.15","         58.20","         56.80","         58.05","         58.05","         57.65","    2329022","           134270156.35","       9407","     771642","         33.13"
"IDBI","EQ","18-Jul-2017","         58.05","         58.00","         58.90","         57.60","         57.75","         57.85","         58.28","    4739436","           276221512.35","       9568","    2209570","         46.62"
"IDBI","EQ","19-Jul-2017","         57.85","         57.95","         58.30","         57.65","         58.05","         58.00","         57.98","    1999656","           115943769.30","       6394","     542101","         27.11"
"IDBI","EQ","20-Jul-2017","         58.00","         58.05","         58.75","         57.65","         58.50","         58.45","         58.36","    2092455","           122112584.15","       9524","     557536","         26.65"
"IDBI","EQ","21-Jul-2017","         58.45","         58.10","         59.50","         58.05","         59.10","         59.15","         58.95","    3529281","           208048769.45","      11942","     879122","         24.91"
"IDBI","EQ","24-Jul-2017","         59.15","         59.40","         61.10","         59.10","         60.60","         60.70","         60.34","    3916478","           236313901.80","      16312","    1328851","         33.93"
"IDBI","EQ","25-Jul-2017","         60.70","         60.65","         61.95","         60.20","         61.70","         61.75","         61.25","    3525771","           215969691.10","      12302","    1151022","         32.65"
"IDBI","EQ","26-Jul-2017","         61.75","         61.70","         62.75","         61.50","         62.10","         62.20","         62.16","    3397350","           211176868.10","      10174","     947943","         27.90"
"IDBI","EQ","27-Jul-2017","         62.20","         62.40","         62.80","         59.25","         59.40","         59.45","         60.44","    3520664","           212773709.45","      11238","    1036890","         29.45"
"IDBI","EQ","28-Jul-2017","         59.45","         59.00","         60.15","         57.15","         59.55","         59.25","         59.19","    2434923","           144114570.70","       9628","     412974","         16.96"
"IDBI","EQ","31-Jul-2017","         59.25","         59.25","         59.95","         58.00","         59.65","         59.45","         59.25","    2672853","           158360146.00","      12344","     429516","         16.07"
"IDBI","EQ","01-Aug-2017","         59.45","         59.70","         60.75","         58.50","         59.50","         59.65","         59.63","    3147048","           187667995.70","      10008","     490405","         15.58"
"IDBI","EQ","02-Aug-2017","         59.65","         59.50","         60.40","         59.00","         59.05","         59.25","         59.64","    2693077","           160620014.90","      10659","     529452","         19.66"
"IDBI","EQ","03-Aug-2017","         59.25","         59.30","         59.50","         56.40","         56.65","         56.65","         57.64","    3053102","           175976001.10","      13098","     867665","         28.42"
"IDBI","EQ","04-Aug-2017","         56.65","         56.60","         57.55","         56.35","         57.05","         57.00","         57.02","    1966652","           112136713.40","       7483","     410505","         20.87"
"IDBI","EQ","07-Aug-2017","         57.00","         57.00","         57.55","         56.75","         57.25","         57.15","         57.13","    1115660","            63734637.75","       3733","     282361","         25.31"
"IDBI","EQ","08-Aug-2017","         57.15","         57.10","         57.45","         55.50","         55.70","         55.75","         56.32","    2974699","           167548431.25","       9726","     821449","         27.61"
"IDBI","EQ","09-Aug-2017","         55.75","         55.65","         56.70","         54.90","         55.85","         55.95","         55.63","    1960714","           109080512.80","       6557","     418542","         21.35"
"IDBI","EQ","10-Aug-2017","         55.95","         55.95","         56.40","         53.15","         54.25","         53.80","         54.74","    3142851","           172031755.65","       8655","     717412","         22.83"
"IDBI","EQ","11-Aug-2017","         53.80","         52.90","         54.05","         52.20","         52.25","         52.65","         53.06","    3295406","           174850486.60","      10380","     824073","         25.01"
"IDBI","EQ","14-Aug-2017","         52.65","         52.85","         52.90","         50.20","         52.65","         52.30","         51.69","   10889090","           562829579.05","      29237","    1169730","         10.74"
"IDBI","EQ","16-Aug-2017","         52.30","         51.45","         53.75","         51.15","         52.85","         53.25","         52.21","    5462764","           285183626.20","      17968","     517765","          9.48"
"IDBI","EQ","17-Aug-2017","         53.25","         53.25","         54.65","         52.75","         53.75","         53.80","         53.92","    3613142","           194814464.20","      13310","     593343","         16.42"
"IDBI","EQ","18-Aug-2017","         53.80","         53.85","         55.00","         53.45","         54.45","         54.30","         54.22","    4292358","           232735755.85","      14209","    1043121","         24.30"
"IDBI","EQ","21-Aug-2017","         54.30","         55.00","         55.60","         53.80","         54.00","         54.10","         54.67","    3102663","           169620580.95","      13848","     695617","         22.42"
"IDBI","EQ","22-Aug-2017","         54.10","         54.30","         54.55","         53.45","         53.50","         53.70","         53.85","    2456898","           132311593.00","      16377","     453342","         18.45"
"IDBI","EQ","23-Aug-2017","         53.70","         53.95","         55.00","         53.75","         54.70","         54.65","         54.46","    1998246","           108826712.80","       7239","     397622","         19.90"
"IDBI","EQ","24-Aug-2017","         54.65","         55.00","         55.50","         54.20","         55.15","         55.00","         54.96","    3192065","           175448875.05","      26664","     719392","         22.54"
"IDBI","EQ","28-Aug-2017","         55.00","         54.95","         56.20","         54.95","         56.05","         56.00","         55.73","    1882463","           104914857.05","      13594","     475400","         25.25"
"IDBI","EQ","29-Aug-2017","         56.00","         55.50","         56.30","         55.20","         55.40","         55.45","         55.67","    2420587","           134756623.55","       9575","     387649","         16.01"
"IDBI","EQ","30-Aug-2017","         55.45","         55.35","         55.75","         54.60","         55.30","         55.30","         55.17","    4861705","           268208916.40","      14547","     615047","         12.65"
"IDBI","EQ","31-Aug-2017","         55.30","         55.30","         55.50","         54.85","         55.40","         55.10","         55.11","    2398098","           132166004.30","       9905","     843130","         35.16"
"IDBI","EQ","01-Sep-2017","         55.10","         55.30","         56.50","         55.10","         55.40","         55.35","         55.74","    2137736","           119162811.30","       8201","     388046","         18.15"
"IDBI","EQ","04-Sep-2017","         55.35","         55.70","         55.80","         54.30","         55.10","         55.00","         54.88","    1651068","            90618647.20","       6238","     321121","         19.45"
"IDBI","EQ","05-Sep-2017","         55.00","         55.50","         55.75","         55.10","         55.70","         55.55","         55.44","    1327114","            73570773.85","       5943","     369683","         27.86"
"IDBI","EQ","06-Sep-2017","         55.55","         55.20","         55.55","         54.65","         54.85","         54.85","         54.97","    2026110","           111371209.25","       8234","     878459","         43.36"
"IDBI","EQ","07-Sep-2017","         54.85","         55.20","         56.50","         54.85","         55.30","         55.45","         55.67","    3536621","           196872324.10","      13352","     692850","         19.59"
